step strain stress
2050 0.00225000000000219 0.463498054662989
2100 0.014750000000002 1.27675447970361
2150 0.0272500000000022 1.93693024099615
2200 0.039750000000002 2.11985374441293
2250 0.0522500000000022 3.12114381101975
2300 0.0647500000000024 2.62726379211264
2350 0.0772500000000022 3.14183105254098
2400 0.0897500000000024 3.06086144170006
2450 0.102250000000002 3.57142376049768
2500 0.114750000000002 4.61987209403929
2550 0.127250000000002 5.04854318036798
2600 0.139750000000002 4.6117862064469
2650 0.152250000000003 5.83798698931435
2700 0.164750000000002 5.96212527633139
2750 0.177250000000003 5.9292549747101
2800 0.189750000000002 6.66709921741763
2850 0.202250000000003 6.70122299557079
2900 0.214750000000002 8.43841555455323
2950 0.227250000000003 8.76075332512048
3000 0.239750000000002 9.09919557493256
3050 0.252250000000003 9.50210749636935
3100 0.264750000000002 10.4571982913068
3150 0.277250000000003 9.85766199082641
3200 0.289750000000003 11.5015936015062
3250 0.302250000000003 12.0630058803918
3300 0.314750000000003 11.7019615368912
3350 0.327250000000003 12.7420403006594
3400 0.339750000000003 12.5548354799676
3450 0.352250000000003 13.0248636186742
3500 0.364750000000003 12.8982472047556
3550 0.377250000000003 14.5507664834495
3600 0.389750000000003 16.0058515086587
3650 0.402250000000003 14.8766185144069
3700 0.414750000000003 15.5042561649565
3750 0.427250000000003 16.1771814127936
3800 0.439750000000003 14.4177499340128
3850 0.452250000000003 13.213922167591
3900 0.464750000000003 12.6188880345122
3950 0.477250000000003 12.2291845648984
4000 0.489750000000003 11.8723021516803
4050 0.502250000000003 11.4981234523233
4100 0.514750000000003 9.68606124823976
4150 0.527250000000003 9.31021391294688
4200 0.539750000000003 9.81050911149226
4250 0.552250000000003 10.16746852307
4300 0.564750000000003 10.562167820595
4350 0.577250000000003 9.53132540148922
4400 0.589750000000003 9.07215423090036
4450 0.602250000000003 9.48636977868757
4500 0.614750000000003 9.8031631766777
